,에너지,가열시작시간,가열종료시간,시간(총),시간(0제외),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,384.0,2020-03-03 05:08:00,2020-03-03 05:52:00,2640.0,2580.0,906.3,1251.7,3,38600.0,17100,CARBON,0,1,0,0,0.0,0,2,30850.0,17100,1,7750.0,7750,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,17100.0,17100,2,21500.0,13750,2640.0,0,누락없음,3,2020-03-03,야간,화,안겹침,이상없음,2,0,CS,평일,0
1,1289.9,2020-03-03 04:44:00,2020-03-03 06:53:00,7740.0,7620.0,384.8,1255.3,7,103950.0,14850,ALLOY,1,0,0,7,103950.0,14850,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,103950.0,14850,22140.0,0,누락없음,2,2020-03-03,야간,화,안겹침,이상없음,4,0,A,평일,0
2,1022.8,2020-03-03 15:35:00,2020-03-03 17:13:00,5880.0,5820.0,738.6,1254.9,9,113820.0,14850,ALLOY,1,0,0,6,89100.0,14850,3,24720.0,8240,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,113820.0,14850,1680.0,0,누락없음,4,2020-03-04,주간,화,안겹침,이상없음,8,0,AC,평일,0
3,490.1,2020-03-04 05:28:00,2020-03-04 06:20:00,3120.0,3060.0,851.6,1252.3,7,94360.0,13480,ALLOY,1,0,0,7,94360.0,13480,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,94360.0,13480,1080.0,0,누락없음,3,2020-03-04,야간,수,안겹침,이상없음,3,0,A,평일,0
4,75.7,2020-03-04 14:16:00,2020-03-04 14:37:00,1260.0,1200.0,1084.2,1271.8,5,83500.0,20350,CARBON,0,1,0,0,0.0,0,5,83500.0,20350,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,83500.0,20350,360.0,0,누락없음,4,2020-03-05,주간,수,안겹침,이상없음,9,0,C,평일,0
5,792.3,2020-03-06 02:10:00,2020-03-06 03:22:00,4320.0,4200.0,621.9,1250.5,6,76240.0,12810,CARBON,0,1,0,0,0.0,0,4,51240.0,12810,2,25000.0,12500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,76240.0,12810,840.0,0,누락없음,6,2020-03-06,야간,금,안겹침,이상없음,6,0,CS,평일,0
6,548.5,2020-03-05 16:31:00,2020-03-05 17:19:00,2880.0,2040.0,1182.8,1253.4,8,84240.0,10530,ALLOY,1,0,0,8,84240.0,10530,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,84240.0,10530,9060.0,0,누락없음,4,2020-03-06,주간,목,안겹침,이상없음,5,0,A,평일,0
7,684.9,2020-03-06 04:01:00,2020-03-06 05:06:00,3900.0,3780.0,653.4,1261.7,8,88800.0,11100,ALLOY,1,0,0,8,88800.0,11100,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,88800.0,11100,2100.0,0,누락없음,2,2020-03-06,야간,금,안겹침,이상없음,8,0,A,평일,0
8,92.7,2020-03-09 15:48:00,2020-03-09 16:04:00,960.0,900.0,1025.4,1248.6,5,52100.0,24000,CARBON,0,1,0,0,0.0,0,5,52100.0,24000,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,24000.0,24000,4,28100.0,7050,540.0,0,누락없음,6,2020-03-09,야간,월,겹침,이상없음,6,1,C,주말,0
9,1443.3,2020-03-09 07:57:00,2020-03-09 10:25:00,8880.0,-2220.0,654.9,1257.2,6,57324.0,9554,ALLOY,1,0,0,6,57324.0,9554,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,57324.0,9554,6180.0,0,누락없음,4,2020-03-09,야간,월,겹침,이상없음,6,6,A,주말,0
