,가열로번호,에너지,시작시간,종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,cycle,평균온도,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,3,440.6,2020-06-07 06:30:00,2020-06-07 09:15:00,9900.0,691.7,694.3,5,64320.0,15760,ALLOY,1,0,0,65.0,,2,17040.0,8520,3,47280.0,15760,이상없음,0
1,2,639.6999999992547,2020-03-09 08:49:00,2020-03-09 13:02:00,15180.0,1276.5,1273.5,11,96380.0,14270,CARBON,0,1,0,5.0,1272.3322834645676,1,7900.0,7900,10,88480.0,14270,이상없음,0
2,2,13.900000000372527,2020-03-09 14:01:00,2020-03-09 14:05:00,240.0,1270.9,1278.2,11,96380.0,14270,CARBON,0,1,0,5.0,1273.24,1,7900.0,7900,10,88480.0,14270,이상없음,0
3,2,48.69999999925494,2020-03-09 14:47:00,2020-03-09 15:02:00,900.0,1277.8,1283.9,11,96380.0,14270,CARBON,0,1,0,5.0,1282.975,1,7900.0,7900,10,88480.0,14270,이상없음,0
4,2,34.700000001117594,2020-03-09 16:06:00,2020-03-09 16:13:00,420.0,1289.8,1293.0,11,96380.0,14270,CARBON,0,1,0,5.0,1286.15,1,7900.0,7900,10,88480.0,14270,이상없음,0
5,2,365.59999999962747,2020-03-10 00:31:00,2020-03-10 02:35:00,7440.0,1272.1,1251.9,4,36300.0,11000,ALLOY,1,0,0,6.0,1254.4616,1,3300.0,3300,3,33000.0,11000,이상없음,0
6,2,167.30000000074506,2020-03-10 03:07:00,2020-03-10 04:01:00,3240.0,1271.0,1254.9,4,36300.0,11000,ALLOY,1,0,0,6.0,1254.930909090909,1,3300.0,3300,3,33000.0,11000,이상없음,0
7,2,605.4000000003724,2020-03-10 04:26:00,2020-03-10 08:19:00,13980.0,1271.3,1276.2,4,36300.0,11000,ALLOY,1,0,0,6.0,1253.8427350427346,1,3300.0,3300,3,33000.0,11000,이상없음,0
8,2,3.5,2020-03-10 08:44:00,2020-03-10 08:45:00,60.0,1284.4,1285.2,4,36300.0,11000,ALLOY,1,0,0,6.0,1284.8000000000004,1,3300.0,3300,3,33000.0,11000,이상없음,0
9,2,845.0,2020-03-10 09:10:00,2020-03-10 14:59:00,20940.0,1273.8,1273.8,4,36300.0,11000,ALLOY,1,0,0,6.0,1273.014,1,3300.0,3300,3,33000.0,11000,이상없음,0
10,2,137.7999999988824,2020-03-10 15:20:00,2020-03-10 16:18:00,3480.0,1282.6,1272.7,4,36300.0,11000,ALLOY,1,0,0,6.0,1275.2135593220335,1,3300.0,3300,3,33000.0,11000,이상없음,0
11,2,123.5,2020-03-10 17:04:00,2020-03-10 18:00:00,3360.0,1272.7,1273.2,4,36300.0,11000,ALLOY,1,0,0,6.0,1272.6263157894737,1,3300.0,3300,3,33000.0,11000,이상없음,0
12,2,234.80000000074506,2020-03-30 09:12:00,2020-03-30 10:25:00,4380.0,1262.2,1253.2,7,81330.0,19100,CARBON,0,1,0,16.0,1254.3202702702702,1,8000.0,8000,6,73330.0,19100,이상없음,0
13,2,439.4000000003725,2020-03-30 11:26:00,2020-03-30 14:22:00,10560.0,1251.8,1255.0,7,81330.0,19100,CARBON,0,1,0,16.0,1253.6293785310734,1,8000.0,8000,6,73330.0,19100,이상없음,0
14,2,143.90000000037253,2020-03-30 14:49:00,2020-03-30 15:45:00,3360.0,1252.4,1254.8,7,81330.0,19100,CARBON,0,1,0,16.0,1253.5929824561404,1,8000.0,8000,6,73330.0,19100,이상없음,0
15,2,15.5,2020-03-30 16:03:00,2020-03-30 16:07:00,240.0,1264.7,1271.3,7,81330.0,19100,CARBON,0,1,0,16.0,1265.06,1,8000.0,8000,6,73330.0,19100,이상없음,0
16,2,12.099999999627473,2020-03-30 16:52:00,2020-03-30 16:54:00,120.0,1268.0,1272.4,7,81330.0,19100,CARBON,0,1,0,16.0,1269.0333333333333,1,8000.0,8000,6,73330.0,19100,이상없음,0
17,2,60.90000000037254,2020-03-30 17:33:00,2020-03-30 17:52:00,1140.0,1252.1,1255.6,7,81330.0,19100,CARBON,0,1,0,16.0,1253.6750000000004,1,8000.0,8000,6,73330.0,19100,이상없음,0
18,2,681.7999999988824,2020-03-30 18:28:00,2020-03-30 22:34:00,14760.0,1268.2,1254.8,7,81330.0,19100,CARBON,0,1,0,16.0,1253.0801619433198,1,8000.0,8000,6,73330.0,19100,이상없음,0
19,2,14.0,2020-03-30 22:54:00,2020-03-30 22:57:00,180.0,1261.2,1273.4,7,81330.0,19100,CARBON,0,1,0,16.0,1266.65,1,8000.0,8000,6,73330.0,19100,이상없음,0
20,2,210.5,2020-03-30 23:43:00,2020-03-31 01:02:00,4740.0,1268.9,1264.7,7,81330.0,19100,CARBON,0,1,0,16.0,1254.8125,1,8000.0,8000,6,73330.0,19100,이상없음,0
21,2,17.599999999627467,2020-03-31 01:38:00,2020-03-31 01:41:00,180.0,1289.9,1293.2,7,81330.0,19100,CARBON,0,1,0,16.0,1288.35,1,8000.0,8000,6,73330.0,19100,이상없음,0
22,2,1931.2000000011176,2020-04-01 07:18:00,2020-04-01 20:09:00,46260.0,1262.8,1274.7,8,118300.0,15100,ALLOY,1,0,0,18.0,1252.869235751294,1,14100.0,14100,7,104200.0,15100,이상없음,0
23,2,97.19999999925491,2020-04-01 20:36:00,2020-04-01 21:13:00,2220.0,1272.0,1274.5,8,118300.0,15100,ALLOY,1,0,0,18.0,1272.615789473684,1,14100.0,14100,7,104200.0,15100,이상없음,0
24,2,12.200000001117587,2020-04-01 22:01:00,2020-04-01 22:04:00,180.0,1280.2,1288.7,8,118300.0,15100,ALLOY,1,0,0,18.0,1283.2,1,14100.0,14100,7,104200.0,15100,이상없음,0
25,2,8.599999999627473,2020-04-01 22:51:00,2020-04-01 22:53:00,120.0,1274.7,1276.1,8,118300.0,15100,ALLOY,1,0,0,18.0,1275.5333333333333,1,14100.0,14100,7,104200.0,15100,이상없음,0
26,2,1987.8000000007446,2020-04-08 07:10:00,2020-04-08 20:13:00,46980.0,1265.9,1254.9,5,78190.0,20350,CARBON,0,1,0,23.0,1253.116198979592,2,20640.0,10320,3,57550.0,20350,이상없음,0
27,2,147.2999999988824,2020-04-08 20:42:00,2020-04-08 21:33:00,3060.0,1288.4,1274.1,5,78190.0,20350,CARBON,0,1,0,23.0,1275.6750000000004,2,20640.0,10320,3,57550.0,20350,이상없음,0
28,2,110.90000000037253,2020-04-08 21:57:00,2020-04-08 22:36:00,2340.0,1287.1,1272.6,5,78190.0,20350,CARBON,0,1,0,23.0,1274.14,2,20640.0,10320,3,57550.0,20350,이상없음,0
29,2,360.20000000111764,2020-04-08 23:08:00,2020-04-09 01:28:00,8400.0,1277.4,1273.3,5,78190.0,20350,CARBON,0,1,0,23.0,1273.395035460993,2,20640.0,10320,3,57550.0,20350,이상없음,0
30,2,383.0,2020-04-09 15:55:00,2020-04-09 18:31:00,9360.0,1283.6,1274.0,4,33200.0,8600,CARBON,0,1,0,24.0,1273.896815286624,2,16000.0,8000,2,17200.0,8600,이상없음,0
31,2,43.5,2020-04-09 18:51:00,2020-04-09 19:05:00,840.0,1295.7,1291.2,4,33200.0,8600,CARBON,0,1,0,24.0,1284.0933333333332,2,16000.0,8000,2,17200.0,8600,이상없음,0
32,2,20.700000001117587,2020-04-09 19:48:00,2020-04-09 19:52:00,240.0,1290.2,1248.6,4,33200.0,8600,CARBON,0,1,0,24.0,1261.42,2,16000.0,8000,2,17200.0,8600,이상없음,0
33,2,219.5,2020-04-09 20:24:00,2020-04-09 21:51:00,5220.0,1268.0,1274.4,4,33200.0,8600,CARBON,0,1,0,24.0,1273.3761363636365,2,16000.0,8000,2,17200.0,8600,이상없음,0
34,2,14.099999999627473,2020-04-09 22:08:00,2020-04-09 22:12:00,240.0,1276.4,1281.4,4,33200.0,8600,CARBON,0,1,0,24.0,1277.78,2,16000.0,8000,2,17200.0,8600,이상없음,0
35,2,458.59999999962747,2020-04-09 23:49:00,2020-04-10 02:38:00,10140.0,1283.5,1274.9,4,33200.0,8600,CARBON,0,1,0,24.0,1273.8088235294115,2,16000.0,8000,2,17200.0,8600,이상없음,0
36,2,33.59999999962747,2020-04-10 02:55:00,2020-04-10 03:05:00,600.0,1292.8,1289.0,4,33200.0,8600,CARBON,0,1,0,24.0,1284.3181818181818,2,16000.0,8000,2,17200.0,8600,이상없음,0
37,2,101.20000000111759,2020-04-10 03:28:00,2020-04-10 04:07:00,2340.0,1278.3,1274.6,4,33200.0,8600,CARBON,0,1,0,24.0,1276.705,2,16000.0,8000,2,17200.0,8600,이상없음,0
38,2,104.80000000074509,2020-04-10 04:26:00,2020-04-10 05:09:00,2580.0,1275.2,1275.2,4,33200.0,8600,CARBON,0,1,0,24.0,1273.3818181818185,2,16000.0,8000,2,17200.0,8600,이상없음,0
39,2,158.19999999925494,2020-04-10 05:30:00,2020-04-10 06:35:00,3900.0,1272.0,1274.0,4,33200.0,8600,CARBON,0,1,0,24.0,1274.1848484848485,2,16000.0,8000,2,17200.0,8600,이상없음,0
40,2,81.80000000074506,2020-04-10 08:25:00,2020-04-10 08:59:00,2040.0,1251.4,1255.3,4,33200.0,8600,CARBON,0,1,0,24.0,1252.8771428571429,2,16000.0,8000,2,17200.0,8600,이상없음,0
41,2,39.2000000011176,2020-04-14 20:34:00,2020-04-14 20:45:00,660.0,1284.1,1291.0,8,111470.0,14600,ALLOY,1,0,0,26.0,1284.425,1,9270.0,9270,7,102200.0,14600,이상없음,0
42,2,35.90000000037253,2020-04-14 21:08:00,2020-04-14 21:17:00,540.0,1276.3,1278.2,8,111470.0,14600,ALLOY,1,0,0,26.0,1279.45,1,9270.0,9270,7,102200.0,14600,이상없음,0
43,2,39.5,2020-04-14 21:43:00,2020-04-14 21:52:00,540.0,1289.0,1291.2,8,111470.0,14600,ALLOY,1,0,0,26.0,1286.65,1,9270.0,9270,7,102200.0,14600,이상없음,0
44,2,38.0,2020-04-14 22:52:00,2020-04-14 23:01:00,540.0,1291.2,1291.4,8,111470.0,14600,ALLOY,1,0,0,26.0,1286.6299999999997,1,9270.0,9270,7,102200.0,14600,이상없음,0
45,2,34.60000000149012,2020-04-14 23:22:00,2020-04-14 23:32:00,600.0,1289.8,1292.2,8,111470.0,14600,ALLOY,1,0,0,26.0,1284.9181818181821,1,9270.0,9270,7,102200.0,14600,이상없음,0
46,2,106.5,2020-04-16 20:59:00,2020-04-16 21:38:00,2340.0,1290.8,1275.1,7,60180.0,10300,SUS,0,0,1,28.0,1277.2975,1,9200.0,9200,6,50980.0,10300,이상없음,0
47,2,95.90000000037253,2020-04-16 21:53:00,2020-04-16 22:23:00,1800.0,1293.9,1275.5,7,60180.0,10300,SUS,0,0,1,28.0,1277.0580645161292,1,9200.0,9200,6,50980.0,10300,이상없음,0
48,2,478.9000000003725,2020-04-16 22:45:00,2020-04-17 02:11:00,12360.0,1273.1,1274.2,7,60180.0,10300,SUS,0,0,1,28.0,1273.0323671497586,1,9200.0,9200,6,50980.0,10300,이상없음,0
49,2,26.09999999962747,2020-04-17 02:42:00,2020-04-17 02:54:00,720.0,1271.1,1275.6,7,60180.0,10300,SUS,0,0,1,28.0,1272.4846153846154,1,9200.0,9200,6,50980.0,10300,이상없음,0
50,2,21.0,2020-04-17 03:22:00,2020-04-17 03:32:00,600.0,1272.4,1276.0,7,60180.0,10300,SUS,0,0,1,28.0,1273.4454545454546,1,9200.0,9200,6,50980.0,10300,이상없음,0
51,2,29.70000000111759,2020-04-17 04:02:00,2020-04-17 04:15:00,780.0,1278.7,1275.4,7,60180.0,10300,SUS,0,0,1,28.0,1274.2642857142855,1,9200.0,9200,6,50980.0,10300,이상없음,0
52,2,610.5999999996276,2020-04-17 13:55:00,2020-04-17 15:53:00,7080.0,1263.2,1254.5,12,106160.0,14550,CARBON,0,1,0,29.0,1254.1243697478992,1,5000.0,5000,11,101160.0,14550,이상없음,0
53,2,786.0999999996277,2020-04-17 16:15:00,2020-04-17 20:12:00,14220.0,1259.5,1274.5,12,106160.0,14550,CARBON,0,1,0,29.0,1272.3016806722685,1,5000.0,5000,11,101160.0,14550,이상없음,0
54,2,24.300000000745047,2020-04-17 20:30:00,2020-04-17 20:36:00,360.0,1281.6,1282.1,12,106160.0,14550,CARBON,0,1,0,29.0,1281.542857142857,1,5000.0,5000,11,101160.0,14550,이상없음,0
55,2,17.300000000745055,2020-04-17 20:50:00,2020-04-17 20:54:00,240.0,1279.5,1281.7,12,106160.0,14550,CARBON,0,1,0,29.0,1280.76,1,5000.0,5000,11,101160.0,14550,이상없음,0
56,2,22.59999999962747,2020-04-17 21:53:00,2020-04-17 21:58:00,300.0,1285.7,1291.7,12,106160.0,14550,CARBON,0,1,0,29.0,1286.65,1,5000.0,5000,11,101160.0,14550,이상없음,0
57,2,26.09999999962747,2020-04-17 22:23:00,2020-04-17 22:30:00,420.0,1253.9,1272.1,12,106160.0,14550,CARBON,0,1,0,29.0,1267.9250000000004,1,5000.0,5000,11,101160.0,14550,이상없음,0
58,2,626.6999999992547,2020-04-17 23:28:00,2020-04-18 03:38:00,15000.0,1274.6,1273.7,12,106160.0,14550,CARBON,0,1,0,29.0,1273.2868525896415,1,5000.0,5000,11,101160.0,14550,이상없음,0
59,2,20.599999999627467,2020-04-28 21:00:00,2020-04-28 21:03:00,180.0,1269.8,1277.8,4,64000.0,16000,CARBON,0,1,0,38.0,1272.125,4,64000.0,16000,0,0.0,0,이상없음,0
60,2,794.5,2020-04-28 21:37:00,2020-04-29 02:28:00,17460.0,1270.6,1257.9,4,64000.0,16000,CARBON,0,1,0,38.0,1254.3162671232876,4,64000.0,16000,0,0.0,0,이상없음,0
61,2,8.699999999254942,2020-04-29 02:47:00,2020-04-29 02:50:00,180.0,1271.2,1261.7,4,64000.0,16000,CARBON,0,1,0,38.0,1263.8,4,64000.0,16000,0,0.0,0,이상없음,0
62,2,581.0999999996276,2020-04-29 03:24:00,2020-04-29 06:40:00,11760.0,1268.2,1254.0,4,64000.0,16000,CARBON,0,1,0,38.0,1244.6685279187818,4,64000.0,16000,0,0.0,0,이상없음,0
63,2,610.2000000011176,2020-04-29 07:07:00,2020-04-29 11:17:00,15000.0,1261.7,1274.9,4,64000.0,16000,CARBON,0,1,0,38.0,1260.6999999999996,4,64000.0,16000,0,0.0,0,이상없음,0
