,가열로번호,에너지,시작시간,종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,cycle,평균온도,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,3,668.0,2020-05-05 14:00:00,2020-05-05 17:44:00,13440.0,846.9,842.4,5,43840.0,8880,CARBON,0,1,0,44.0,,0,0.0,0,5,43840.0,8880,이상없음,0
1,4,176.6,2020-03-09 06:14:00,2020-03-09 07:57:00,6180.0,653.1,654.9,6,57324.0,9554,ALLOY,1,0,0,4.0,,0,0.0,0,6,57324.0,9554,이상없음,0
2,5,321.1,2020-03-30 23:08:00,2020-03-31 04:51:00,20580.0,300.6,329.9,7,94360.0,13480,ALLOY,1,0,0,12.0,,0,0.0,0,7,94360.0,13480,이상없음,0
3,5,1090.2,2020-03-31 11:06:00,2020-03-31 23:50:00,45840.0,593.4,602.4,7,94360.0,13480,ALLOY,1,0,0,12.0,,0,0.0,0,7,94360.0,13480,이상없음,0
4,6,794.7,2020-03-29 16:30:00,2020-03-29 19:36:00,11160.0,798.7,801.3,5,79290.0,25950,CARBON,0,1,0,18.0,,0,0.0,0,5,79290.0,25950,이상없음,0
5,6,652.5,2020-07-07 00:06:00,2020-07-07 02:25:00,8340.0,648.2,649.4,7,106310.0,26000,CARBON,0,1,0,75.0,,0,0.0,0,7,106310.0,26000,이상없음,0
6,2,46.09999999962746,2020-03-03 21:44:00,2020-03-03 22:00:00,960.0,1285.2,1272.4,7,103950.0,14850,ALLOY,1,0,0,1.0,1274.558823529412,0,0.0,0,7,103950.0,14850,이상없음,0
7,2,47.80000000074506,2020-03-03 22:15:00,2020-03-03 22:30:00,900.0,1276.8,1275.0,7,103950.0,14850,ALLOY,1,0,0,1.0,1280.84375,0,0.0,0,7,103950.0,14850,이상없음,0
8,2,28.29999999888241,2020-03-03 22:52:00,2020-03-03 23:02:00,600.0,1288.3,1272.1,7,103950.0,14850,ALLOY,1,0,0,1.0,1277.7454545454545,0,0.0,0,7,103950.0,14850,이상없음,0
9,2,255.5999999996274,2020-03-03 23:23:00,2020-03-04 00:58:00,5700.0,1291.9,1275.1,7,103950.0,14850,ALLOY,1,0,0,1.0,1275.103125,0,0.0,0,7,103950.0,14850,이상없음,0
10,2,30.20000000111759,2020-03-04 01:15:00,2020-03-04 01:24:00,540.0,1272.6,1287.3,7,103950.0,14850,ALLOY,1,0,0,1.0,1282.23,0,0.0,0,7,103950.0,14850,이상없음,0
11,2,35.300000000745065,2020-03-04 20:49:00,2020-03-04 20:59:00,600.0,1274.5,1287.0,6,89100.0,14850,ALLOY,1,0,0,2.0,1285.109090909091,0,0.0,0,6,89100.0,14850,이상없음,0
12,2,26.5,2020-03-04 21:27:00,2020-03-04 21:33:00,360.0,1287.0,1291.6,6,89100.0,14850,ALLOY,1,0,0,2.0,1287.2714285714285,0,0.0,0,6,89100.0,14850,이상없음,0
13,2,23.09999999962747,2020-03-04 21:58:00,2020-03-04 22:06:00,480.0,1288.9,1275.3,6,89100.0,14850,ALLOY,1,0,0,2.0,1279.011111111111,0,0.0,0,6,89100.0,14850,이상없음,0
14,2,19.5,2020-03-04 22:36:00,2020-03-04 22:41:00,300.0,1291.8,1290.5,6,89100.0,14850,ALLOY,1,0,0,2.0,1286.2166666666667,0,0.0,0,6,89100.0,14850,이상없음,0
15,2,2684.4000000003725,2020-03-05 07:09:00,2020-03-05 22:39:00,55800.0,1271.2,1274.0,8,96460.0,13480,ALLOY,1,0,0,3.0,1256.1940923737916,0,0.0,0,8,96460.0,13480,이상없음,0
16,2,171.7999999988824,2020-03-05 23:55:00,2020-03-06 01:02:00,4020.0,1269.2,1273.1,8,96460.0,13480,ALLOY,1,0,0,3.0,1271.5338235294118,0,0.0,0,8,96460.0,13480,이상없음,0
17,2,25.300000000745047,2020-03-06 01:19:00,2020-03-06 01:28:00,540.0,1282.2,1279.1,8,96460.0,13480,ALLOY,1,0,0,3.0,1283.06,0,0.0,0,8,96460.0,13480,이상없음,0
18,2,41.59999999962747,2020-03-06 02:00:00,2020-03-06 02:19:00,1140.0,1269.4,1273.1,8,96460.0,13480,ALLOY,1,0,0,3.0,1271.3,0,0.0,0,8,96460.0,13480,이상없음,0
19,2,1.800000000745058,2020-03-06 03:24:00,2020-03-06 03:26:00,120.0,1286.5,1139.0,8,96460.0,13480,ALLOY,1,0,0,3.0,1234.7,0,0.0,0,8,96460.0,13480,이상없음,0
20,2,24.59999999962747,2020-03-06 20:36:00,2020-03-06 20:43:00,420.0,1270.5,1280.3,8,88800.0,11100,ALLOY,1,0,0,4.0,1274.5875,0,0.0,0,8,88800.0,11100,이상없음,0
21,2,24.699999999254945,2020-03-06 21:37:00,2020-03-06 21:42:00,300.0,1291.3,1290.2,8,88800.0,11100,ALLOY,1,0,0,4.0,1287.9833333333333,0,0.0,0,8,88800.0,11100,이상없음,0
22,2,1.7000000011175869,2020-03-11 16:55:00,2020-03-11 16:56:00,60.0,1284.1,1285.7,7,94360.0,13480,ALLOY,1,0,0,7.0,1284.9,0,0.0,0,7,94360.0,13480,이상없음,0
23,2,95.09999999962747,2020-03-11 17:16:00,2020-03-11 17:57:00,2460.0,1281.5,1274.8,7,94360.0,13480,ALLOY,1,0,0,7.0,1273.9738095238095,0,0.0,0,7,94360.0,13480,이상없음,0
