,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,heat,0.0,1,[],[],0.0,0.0,17,1254.511702537276,0,0.0,1.0,['190424-15111-015'],2019-08-26 14:43:00,1254.511702537276,2019-08-24 08:00:00,1254.575663831743,2019-08-24 03:20:00,,2019-08-26 14:43:00,1254.511702537276,,0.0,,
1,heat,1.0,1,[],[],8.0,8.0,17,1254.5086242903906,0,0.0,0.0,['190621-19133-001'],2019-08-26 17:21:00,1254.5086242903906,2019-08-26 17:20:00,1254.5086437729656,2019-08-26 17:20:00,,2019-08-26 17:21:00,1254.5086242903906,,0.0,,
2,heat,2.0,1,[],[],0.0,0.0,17,1254.4981036997685,0,0.0,1.0,['190424-15111-015'],2019-08-27 02:21:00,1254.4981036997685,2019-08-27 02:20:00,1254.4981231823435,2019-08-27 02:20:00,,2019-08-27 02:21:00,1254.4981036997685,,0.0,,
3,heat,3.0,1,[],[],0.0,0.0,17,1254.4832969425963,0,0.0,1.0,['190624-15226-001'],2019-08-27 15:01:00,1254.4832969425963,2019-08-27 15:00:00,1254.4833164251718,2019-08-27 08:40:00,,2019-08-27 15:01:00,1254.4832969425963,,0.0,,
4,heat,6.0,1,[],[],6.400000000008731,6.400000000008731,17,1254.4310836409911,0,0.0,0.0,['190424-15111-011'],2019-08-29 11:41:00,1254.4310836409911,2019-08-29 11:40:00,1254.431103123566,2019-08-29 11:40:00,,2019-08-29 11:41:00,1254.4310836409911,,0.0,,
5,heat,7.0,1,[],[],0.0,0.0,17,1254.3174807448481,0,0.0,1.0,"['190625-15226-009', '190620-12005-001', '190415-15491-003', '190415-15491-003', '190625-15226-010']",2019-09-02 12:52:00,1254.3174807448481,2019-09-02 12:50:00,1254.3175197099986,2019-08-30 02:01:00,,2019-09-02 12:52:00,1254.3174807448481,,0.0,,
6,heat,8.0,1,[],[],0.0,0.0,17,1254.2583121638868,0,0.0,1.0,"['190415-15491-003', '190415-15491-003', '190625-15226-010', '190712-19004-002', '190625-15226-009']",2019-09-04 15:29:00,1254.2583121638868,2019-09-04 15:29:00,1254.2583121638868,2019-09-04 15:24:00,,2019-09-04 15:29:00,1254.2583121638868,,0.0,,
7,heat,9.0,1,[],[],0.0,0.0,17,1254.2430573074848,0,0.0,1.0,"['190809-19004-001', '190412-19478-067', '190712-19004-001', '190820-19448-001']",2019-09-05 04:32:00,1254.2430573074848,2019-09-05 04:32:00,1254.2430573074848,2019-09-05 04:20:00,,2019-09-05 04:32:00,1254.2430573074848,,0.0,,
8,heat,10.0,1,[],[],0.0,0.0,17,1254.214963434009,0,0.0,1.0,"['190712-19004-001', '190618-17035-001']",2019-09-06 04:34:00,1254.214963434009,2019-09-06 04:34:00,1254.214963434009,2019-09-06 04:28:00,,2019-09-06 04:34:00,1254.214963434009,,0.0,,
9,heat,11.0,1,[],[],0.0,0.0,17,1254.1217393115523,0,0.0,0.0,"['190704-19581-001', '190715-19705-003', '190715-19705-001', '190715-19705-001', '190715-19705-001']",2019-09-09 12:19:00,1254.1217393115523,2019-09-08 16:40:00,1254.144709267744,2019-09-08 15:10:00,,2019-09-09 12:19:00,1254.1217393115523,,0.0,,
10,heat,12.0,1,[],[],0.0,0.0,17,1254.1168491851708,0,0.0,1.0,"['190820-19448-013', '190820-19448-013', '190803-19004-002', '190803-19004-004', '190411-19581-004']",2019-09-09 16:30:00,1254.1168491851708,2019-09-09 16:30:00,1254.1168491851708,2019-09-09 16:25:00,,2019-09-09 16:30:00,1254.1168491851708,,0.0,,
11,heat,13.0,1,[],[],0.0,0.0,17,1254.091171151023,0,0.0,1.0,"['190704-19581-002', '190820-19448-019', '190820-19448-025', '190820-19448-025', '190820-19448-031']",2019-09-10 14:28:00,1254.091171151023,2019-09-10 14:27:00,1254.0911906335982,2019-09-10 13:40:00,,2019-09-10 14:28:00,1254.091171151023,,0.0,,
