,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,open,,0,,,,,,,3.399999998509884,5,,,,,,2019-07-01 08:31:00,1271.0,,,,,2019-07-01 08:34:00,1055.9,,,,
1,reheat,,0,,,,,,,67.80000000074506,5,,,,1,,2019-07-01 08:34:00,1055.9,,,,,2019-07-01 08:45:00,,,,,
2,hold,,0,,,,,,,5.0,5,,,,,,2019-07-01 08:45:00,1286.3,,,,,2019-07-01 08:46:00,1284.4,,,1285.35,
3,open,,0,,,,,,,26.699999999254942,5,,,,,,2019-07-01 08:46:00,1284.4,,,,,2019-07-01 08:56:00,1049.2,,,,
4,reheat,,1,,,,,,,29.90000000037253,5,,,,8,,2019-07-01 08:56:00,1049.2,,,,,2019-07-01 09:10:00,,,,,
5,hold,,1,,,,,,,0.0,5,,,,,,2019-07-01 09:10:00,1269.9000000000008,,,,,2019-07-01 09:12:00,1270.5,,,1270.1000000000004,
6,open,,0,,,,,,,0.0,5,,,,,,2019-07-01 09:12:00,1270.5,,,,,2019-07-01 09:17:00,1108.6,,,,
7,reheat,,0,,,,,,,0.0,5,,,,10,,2019-07-01 09:17:00,1108.6,,,,,2019-07-01 09:27:00,,,,,
8,open,,0,,,,,,,0.0,5,,,,,,2019-07-01 09:28:00,1286.3,,,,,2019-07-01 09:35:00,1076.4,,,,
9,reheat,,0,,,,,,,0.0,5,,,,12,,2019-07-01 09:35:00,1076.4,,,,,2019-07-01 09:47:00,,,,,
10,hold,,0,,,,,,,0.0,5,,,,,,2019-07-01 09:47:00,1288.5,,,,,2019-07-01 09:52:00,1271.8,,,1280.3,
11,open,,0,,,,,,,0.0,5,,,,,,2019-07-01 09:52:00,1271.8,,,,,2019-07-01 09:55:00,1093.6,,,,
12,reheat,,0,,,,,,,0.0,5,,,,11,,2019-07-01 09:55:00,1093.6,,,,,2019-07-01 10:06:00,,,,,
13,open,,0,,,,,,,0.0,5,,,,,,2019-07-01 10:07:00,1290.4,,,,,2019-07-01 10:11:00,1041.2,,,,
14,reheat,,0,,,,,,,0.0,5,,,,11,,2019-07-01 10:11:00,1041.2,,,,,2019-07-01 10:22:00,,,,,
15,open,,0,,,,,,,0.0,5,,,,,,2019-07-01 10:23:00,1289.2,,,,,2019-07-01 10:39:00,662.8,,,,
16,reheat,,1,,,,,,,0.0,5,,,,41,,2019-07-01 10:39:00,662.8,,,,,2019-07-01 11:23:00,,,,,
17,hold,,1,,,,,,,0.0,5,,,,,,2019-07-01 11:23:00,1251.8,,,,,2019-07-01 11:28:00,1252.5,,,1252.1833333333332,
18,open,,0,,,,,,,0.0,5,,,,,,2019-07-01 11:28:00,1252.5,,,,,2019-07-01 11:35:00,848.1,,,,
19,reheat,,0,,,,,,,0.0,5,,,,16,,2019-07-01 11:35:00,848.1,,,,,2019-07-01 11:52:00,,,,,
20,hold,,0,,,,,,,189.59999999962747,5,,,,,,2019-07-01 11:52:00,1266.1,,,,,2019-07-01 13:00:00,1258.4,,,1252.1159420289853,
21,open,,0,,,,,,,3.300000000745058,5,,,,,,2019-07-01 13:00:00,1258.4,,,,,2019-07-01 13:02:00,1030.5,,,,
22,reheat,,0,,,,,,,100.09999999962747,5,,,,1,,2019-07-01 13:02:00,1030.5,,,,,2019-07-01 13:21:00,,,,,
23,hold,,0,,,,,,,18.199999999254942,5,,,,,,2019-07-01 13:21:00,1272.9,,,,,2019-07-01 13:26:00,1272.0,,,1272.5,
24,open,,0,,,,,,,8.300000000745058,5,,,,,,2019-07-01 13:26:00,1272.0,,,,,2019-07-01 13:31:00,936.4,,,,
25,reheat,,0,,,,,,,99.59999999962747,5,,,,2,,2019-07-01 13:31:00,936.4,,,,,2019-07-01 13:47:00,,,,,
26,open,,0,,,,,,,31.40000000037253,5,,,,,,2019-07-01 13:48:00,1288.5,,,,,2019-07-01 13:56:00,1126.9,,,,
27,reheat,,0,,,,,,,54.0,5,,,,1,,2019-07-01 13:56:00,1126.9,,,,,2019-07-01 14:06:00,,,,,
28,heat,1,1,252.88324873096445,,,increasing 0,830.3,3.283333333333333,1660.5,5,1256.8,0,0,1,[],2019-07-01 18:01:00,426.5,2019-07-01 18:00:00,403.6,2019-07-01 14:07:00,,2019-07-01 21:18:00,1256.8,,0,,
29,open,,0,,,,,,,3.400000000372529,5,,,,,,2019-07-02 02:52:00,1251.3,,,,,2019-07-02 02:56:00,902.7,,,,
30,reheat,,0,,,,,,,16.59999999962747,5,,,,1,,2019-07-02 02:56:00,902.7,,,,,2019-07-02 03:01:00,,,,,
31,open,,0,,,,,,,8.300000000745058,5,,,,,,2019-07-02 03:01:00,1148.0,,,,,2019-07-02 03:04:00,935.3,,,,
32,reheat,,0,,,,,,,172.09999999962747,5,,,,1,,2019-07-02 03:04:00,935.3,,,,,2019-07-02 03:35:00,,,,,
33,hold,,0,,,,,,,587.1999999992549,5,,,,,,2019-07-02 03:35:00,1252.1,,,,,2019-07-02 06:44:00,1269.7,,,1268.0857894736841,
34,open,,0,,,,,,,3.300000000745058,5,,,,,,2019-07-02 06:44:00,1269.7,,,,,2019-07-02 06:47:00,1102.7,,,,
35,reheat,,0,,,,,,,310.59999999962747,5,,,,29,,2019-07-02 06:47:00,1102.7,,,,,2019-07-02 09:02:00,,,,,
36,hold,,0,,,,,,,344.2000000011176,5,,,,,,2019-07-02 09:02:00,1253.7,,,,,2019-07-02 11:35:00,1255.6,,,1255.4493506493507,
37,open,,0,,,,,,,5.0,5,,,,,,2019-07-02 11:35:00,1255.6,,,,,2019-07-02 11:39:00,966.4,,,,
38,reheat,,0,,,,,,,60.5,5,,,,2,,2019-07-02 11:39:00,966.4,,,,,2019-07-02 11:50:00,,,,,
39,hold,,0,,,,,,,211.2999999988824,5,,,,,,2019-07-02 11:50:00,1257.9,,,,,2019-07-02 13:18:00,1254.6,,,1252.2876404494382,
40,open,,0,,,,,,,3.400000000372529,5,,,,,,2019-07-02 13:18:00,1254.6,,,,,2019-07-02 13:21:00,1067.2,,,,
41,reheat,,0,,,,,,,46.09999999962747,5,,,,1,,2019-07-02 13:21:00,1067.2,,,,,2019-07-02 13:32:00,,,,,
42,hold,,0,,,,,,,19.800000000745058,5,,,,,,2019-07-02 13:32:00,1254.2,,,,,2019-07-02 13:40:00,1253.1,,,1252.8,
43,open,,0,,,,,,,1.699999999254942,5,,,,,,2019-07-02 13:40:00,1253.1,,,,,2019-07-02 13:42:00,1054.8,,,,
44,reheat,,0,,,,,,,44.20000000111759,5,,,,1,,2019-07-02 13:42:00,1054.8,,,,,2019-07-02 13:50:00,,,,,
45,open,,0,,,,,,,9.899999998509884,5,,,,,,2019-07-02 13:51:00,1283.2,,,,,2019-07-02 13:54:00,1042.3,,,,
46,reheat,,0,,,,,,,37.70000000111759,5,,,,1,,2019-07-02 13:54:00,1042.3,,,,,2019-07-02 14:02:00,,,,,
47,heat,2,1,156.47441860465116,,,increasing 0,560.7,3.5833333333333335,1448.199999999255,5,1277.2,2019-07-02 15:56:00,2,30,[],2019-07-02 14:57:00,716.5,2019-07-02 14:50:00,709.1,2019-07-02 14:03:00,,2019-07-02 18:32:00,1277.2,,770.4,,
48,open,,0,,,,,,,1.699999999254942,5,,,,,,2019-07-03 08:51:00,1279.0,,,,,2019-07-03 08:58:00,839.1,,,,
49,reheat,,0,,,,,,,107.30000000074506,5,,,,2,,2019-07-03 08:58:00,839.1,,,,,2019-07-03 09:13:00,,,,,
50,open,,0,,,,,,,14.900000000372529,5,,,,,,2019-07-03 09:14:00,1290.3,,,,,2019-07-03 09:21:00,864.9,,,,
51,reheat,,0,,,,,,,99.09999999962747,5,,,,2,,2019-07-03 09:21:00,864.9,,,,,2019-07-03 09:37:00,,,,,
52,hold,,0,,,,,,,43.30000000074506,5,,,,,,2019-07-03 09:37:00,1286.5,,,,,2019-07-03 09:47:00,1272.0,,,1278.1727272727271,
