,에너지,시간(총),시간(0제외),시작온도,종료온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,2210.5,26640.0,19260.0,127.0,1252.7,0,0.0,0,3,33870.0,13080,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,33870.0,13080,0,0.0,0,0,0.0,0,3,33870.0,13080,620640.0,0,누락없음,3,2019-08-03,야간,2019-08-02 23:49:00,금,안겹침,이상없음,12,0,C,평일,0
1,1622.5,12480.0,12300.0,727.4,1253.5,0,0.0,0,8,48890.0,6730,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,48890.0,6730,0,0.0,0,0,0.0,0,8,48890.0,6730,1860.0,0,누락없음,5,2019-08-08,야간,2019-08-08 07:03:00,목,안겹침,이상없음,7,0,C,평일,0
2,146.2,1380.0,1320.0,739.6,1273.6,0,0.0,0,9,58230.0,6470,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,58230.0,6470,0,0.0,0,0,0.0,0,9,58230.0,6470,1437360.0,0,누락없음,2,2019-08-12,야간,2019-08-12 16:18:00,월,안겹침,이상없음,6,0,C,주말,0
3,4813.6,43740.0,43200.0,145.2,1251.5,0,0.0,0,3,45570.0,15190,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,45570.0,15190,0,0.0,0,0,0.0,0,3,45570.0,15190,146760.0,0,누락없음,5,2019-08-23,야간,2019-08-22 21:09:00,목,안겹침,이상없음,1,0,C,평일,0
4,1670.0,9420.0,9360.0,708.2,1245.2,0,0.0,0,9,89550.0,15190,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,89550.0,15190,0,0.0,0,0,0.0,0,9,89550.0,15190,4320.0,0,누락없음,4,2019-08-27,야간,2019-08-27 03:59:00,화,안겹침,이상없음,7,0,C,평일,0
5,532.3,3540.0,3480.0,734.1,1264.4,0,0.0,0,7,47110.0,6730,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,47110.0,6730,0,0.0,0,0,0.0,0,7,47110.0,6730,1320.0,0,누락없음,2,2019-08-29,주간,2019-08-28 18:19:00,수,안겹침,이상없음,2,0,C,평일,0
6,1264.0,7320.0,7080.0,647.4,1248.1,0,0.0,0,10,75240.0,7750,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,10,75240.0,7750,0,0.0,0,0,0.0,0,10,75240.0,7750,4200.0,0,누락없음,4,2019-08-29,야간,2019-08-29 03:35:00,목,안겹침,이상없음,6,0,C,평일,0
7,3287.6,25260.0,25080.0,80.1,1253.8,0,0.0,0,5,61550.0,12310,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,61550.0,12310,0,0.0,0,0,0.0,0,5,61550.0,12310,324600.0,0,누락없음,2,2019-09-04,주간,2019-09-03 08:34:00,화,안겹침,이상없음,2,0,C,평일,0
8,306.1,2040.0,1980.0,628.1,1228.6,0,0.0,0,0,0.0,0,5,79500.0,17600,0,0.0,0,0,0.0,0,0,0.0,0,5,79500.0,17600,0,0.0,0,0,0.0,0,5,79500.0,17600,1140.0,0,누락없음,3,2019-09-07,야간,2019-09-07 11:24:00,토,안겹침,이상없음,10,0,S,주말,0
9,698.2,6540.0,6420.0,830.6,1258.5,0,0.0,0,4,34640.0,12750,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,34640.0,12750,0,0.0,0,0,0.0,0,4,34640.0,12750,900.0,0,누락없음,5,2019-09-08,주간,2019-09-07 18:41:00,토,겹침,이상없음,7,1,C,주말,0
10,782.4,4800.0,4620.0,580.8,1259.4,0,0.0,0,7,52710.0,7530,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,52710.0,7530,0,0.0,0,0,0.0,0,7,52710.0,7530,14460.0,0,누락없음,3,2019-09-09,야간,2019-09-09 03:25:00,월,안겹침,이상없음,8,0,C,평일,0
11,284.4,2880.0,2760.0,823.0,1282.1,0,0.0,0,8,58840.0,7750,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,58840.0,7750,0,0.0,0,0,0.0,0,8,58840.0,7750,480.0,0,누락없음,5,2019-09-09,주간,2019-09-09 09:18:00,월,안겹침,이상없음,1,0,C,평일,0
12,153.7,1380.0,1380.0,831.4,1256.5,0,0.0,0,5,65890.0,22850,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,65890.0,22850,0,0.0,0,0,0.0,0,5,65890.0,22850,900.0,0,누락없음,2,2019-09-09,야간,2019-09-09 06:34:00,월,안겹침,이상없음,6,0,C,평일,0
13,1100.5,10920.0,10860.0,779.4,1260.1,0,0.0,0,4,30720.0,10530,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,30720.0,10530,0,0.0,0,0,0.0,0,4,30720.0,10530,660.0,0,누락없음,5,2019-09-10,주간,2019-09-09 18:51:00,월,안겹침,이상없음,8,0,C,주말,0
14,558.7,3420.0,3360.0,665.0,1241.0,0,0.0,0,8,46400.0,5800,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,46400.0,5800,0,0.0,0,0,0.0,0,8,46400.0,5800,6360.0,0,누락없음,3,2019-09-11,야간,2019-09-11 00:52:00,수,안겹침,이상없음,10,0,C,평일,0
15,3954.7,30360.0,30120.0,162.1,1247.6,0,0.0,0,8,57530.0,7620,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,57530.0,7620,0,0.0,0,0,0.0,0,8,57530.0,7620,292680.0,0,누락없음,3,2019-09-16,주간,2019-09-15 07:25:00,일,안겹침,이상없음,8,0,C,주말,0
16,625.7,3840.0,3780.0,631.4,1252.0,0,0.0,0,8,54280.0,7750,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,54280.0,7750,0,0.0,0,0,0.0,0,8,54280.0,7750,1320.0,0,누락없음,3,2019-09-17,주간,2019-09-16 18:38:00,월,안겹침,이상없음,8,0,C,평일,0
17,245.6,1620.0,1620.0,607.1,1242.8,0,0.0,0,0,0.0,0,2,14630.0,8560,0,0.0,0,0,0.0,0,0,0.0,0,2,14630.0,8560,0,0.0,0,0,0.0,0,2,14630.0,8560,5100.0,0,누락없음,3,2019-09-18,주간,2019-09-17 17:59:00,화,안겹침,이상없음,8,0,S,평일,0
18,702.1,4200.0,4080.0,527.5,1258.5,0,0.0,0,10,71670.0,7620,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,10,71670.0,7620,0,0.0,0,0,0.0,0,10,71670.0,7620,1680.0,0,누락없음,3,2019-09-20,주간,2019-09-19 19:12:00,목,안겹침,이상없음,3,0,C,평일,0
